time_s,vx_meas,vy_meas,r_meas,ax_meas,ay_meas,vx_est,vy_est,r_est,phi_est,phi_dot_est,Fxf_est,Fxr_est,Fyf_est,Fyr_est,Fx_fl_est,Fx_fr_est,Fx_rl_est,Fx_rr_est,Fy_fl_est,Fy_fr_est,Fy_rl_est,Fy_rr_est,Fz_fl_meas,Fz_fr_meas,Fz_rl_meas,Fz_rr_meas,Fz_fl_est,Fz_fr_est,Fz_rl_est,Fz_rr_est,kappa_fl,kappa_fr,kappa_rl,kappa_rr,mu_fl,mu_fr,mu_rl,mu_rr
29.38,6.82794798068655,-0.102107984092418,-0.00651935864418689,-0.145560646309653,-0.150939131986222,7.1645042982717,-0.390649480362457,-0.0070744335738719,-0.103161566944238,0.0893811618000056,-13718.9439490278,-13718.9439490277,-12271.9141320507,-12255.4982025898,-6855.51396380629,-6863.42998522152,-6856.02072282757,-6862.92322620016,-6135.9570660253,-6135.95706602535,-6127.74910129485,-6127.74910129496,385449.870773176,371478.799041865,429184.966788526,403557.266244454,386893.302116559,370241.232537305,423788.544174107,409343.652503129,0.0238458927181844,0.0245925110638622,0.0346172842775816,0.0084801594484593,0.0237802953439522,0.0248657798052585,0.0216979503714928,0.0224762015470976
29.4,7.39690465516547,-0.384793448739995,-0.0426534885150912,-0.188914545529874,-0.0748888313936755,7.24564333800832,-0.389314244690795,-0.0365614461281939,-0.101373943708237,0.0926363496217351,-13718.9091190303,-13718.9091190303,-12262.6236260135,-12199.900023221,-6844.33140172732,-6874.57771730303,-6846.26767659004,-6872.64144244023,-6131.31181300673,-6131.31181300678,-6099.95001161044,-6099.95001161056,397562.873424027,356413.549082765,396999.052889523,413354.933466119,390434.510803172,364622.20303982,412244.499095123,411436.063361466,0.00138966239833353,0.0283698981844895,-0.0118802281340374,0.0160035996882159,0.023535335990121,0.0252632946149087,0.022243005749935,0.02233461230124
29.42,7.78425238580485,-0.432755246476074,-0.015500269923313,-0.242254930337897,-0.420986521435117,7.43657917970403,-0.403791011915557,-0.0191205350035929,-0.0995212167158028,0.0929429198029662,-13731.0551481097,-13731.0551481096,-12363.132964351,-12328.0528165954,-6857.06947238163,-6873.98567572807,-6858.15239500174,-6872.90275310788,-6181.56648217547,-6181.56648217552,-6164.02640829767,-6164.02640829778,355135.963811795,364450.205762564,396205.935943495,387143.148233742,375367.000722529,364692.948351661,406591.320304623,400707.03593116,-0.00897591768847998,-0.0264243864776564,-0.0360164266506037,-0.0248952980364291,0.0245947903244786,0.0253491164880098,0.0226791434294107,0.0230395719830518
29.44,7.55767860789152,-0.553646119033553,-0.0169745171529377,0.0256393893511932,-0.300090808536029,7.47791074648596,-0.45770108805249,-0.0173301690085912,-0.0976623583197434,0.0941675746773818,-13644.6414432347,-13644.6414432347,-12428.2436279019,-12396.1370443992,-6814.57956985433,-6830.06187338041,-6815.57069867659,-6829.07074455808,-6214.12181395091,-6214.12181395095,-6198.06852219953,-6198.06852219965,384489.740503403,369982.673233944,399650.699998543,415409.656414003,378829.061450093,366331.868861874,405830.982799228,408194.754295487,-0.0187675299177227,-0.0259299995727918,-0.0516557518187986,-0.0183620061070009,0.0243446527736338,0.0252064007673558,0.0227000561172641,0.0225930837079083
29.46,7.42787406666418,-0.186668150487169,-0.0271469918783365,-0.553271719222174,-0.513397834721181,7.45785285179594,-0.360791372230075,-0.0255132172261375,-0.0957790068261958,0.0935471719775805,-13807.2961697809,-13807.2961697808,-12576.3807385009,-12531.6244303649,-6892.85698425513,-6914.43918552574,-6894.23860952111,-6913.05756025969,-6288.1903692504,-6288.19036925045,-6265.8122151824,-6265.81221518251,430274.941276067,367702.37594546,427910.452153575,399133.183439014,401978.203003269,367807.11030207,415664.704572155,402809.229557998,-0.0260487384809029,-0.0213200043240111,-0.0329289283070106,-0.0237465649493466,0.0232107357144217,0.0254105076313828,0.0224126917979553,0.0231625777111087
29.48,7.48818681542491,-0.397154426121224,-0.0124996971886882,-0.148773079935058,-0.468319330506077,7.4666333802497,-0.373638992476703,-0.0147364134686752,-0.0939080633866442,0.0932227518323092,-13796.6949627065,-13796.6949627065,-12700.0448199547,-12672.501522578,-6891.70657404432,-6904.9883886622,-6892.55683442434,-6904.13812828211,-6350.02240997734,-6350.02240997739,-6336.25076128895,-6336.25076128907,383216.709464652,326293.434285406,400604.339585814,409244.055968351,392657.607094439,350027.375334439,410566.332545516,405758.964032371,-0.0215903778188236,-0.0205864143460134,-0.0298034969876198,-0.0367106588759549,0.0238659515524242,0.0268005307180523,0.0228037377553059,0.0230949335461778
29.5,7.30767608278502,-0.618893151080853,-0.00940316798010533,-0.128768765652763,-0.631424186961882,7.40755825299566,-0.462319702223208,-0.0102890890499767,-0.092043608349998,0.091475218306544,-13784.0670917767,-13784.0670917766,-12903.3630300861,-12883.1424696654,-6887.15820850034,-6896.90888327632,-6887.78241631221,-6896.28467546437,-6451.68151504304,-6451.68151504309,-6441.57123483264,-6441.57123483276,398849.104545554,385767.760297668,394108.217595137,432839.109629564,394664.470550629,365418.337105952,405681.660602432,416806.676693186,-0.00744279554255934,-0.00818766653378296,-0.0156785188198398,-0.0192715499851479,0.0239114739225768,0.025844700885784,0.0232461975044463,0.0226406343863405
29.52,7.96112077360133,-0.337379438644301,-0.0172107720000305,-0.537853417086151,-0.617375759072778,7.60368988500529,-0.418590812760117,-0.0160572423300065,-0.0902141039838671,0.0897743154553194,-13919.4048137966,-13919.4048137965,-13095.5240119431,-13066.4925325212,-6952.70268710276,-6966.70212669383,-6953.59888759714,-6965.80592619939,-6547.76200597154,-6547.76200597159,-6533.24626626057,-6533.24626626068,387846.393695584,353429.567751037,379390.352406381,394323.167431777,392470.364786527,361170.390621606,395664.793259149,405008.298233926,-0.0445719498881234,-0.0393590156843609,-0.051076700738155,-0.0553701609353028,0.0243344830406221,0.0264716043621426,0.0241145301319105,0.0235801850658185
29.54,7.45566293147816,-0.569239792517675,-0.0107788060949372,-0.204641267551386,-0.386265408160146,7.54851318010828,-0.473227080086209,-0.0116695478895682,-0.0884186176747607,0.0899126015417431,-13937.608136292,-13937.6081362919,-13190.8678116123,-13168.9594993288,-6963.52180040658,-6974.08633588539,-6964.19810904431,-6973.41002724758,-6595.43390580611,-6595.43390580616,-6584.47974966437,-6584.47974966448,343806.568571929,346171.993738244,428347.965601218,364956.519382091,371494.22751673,355274.421350954,411631.487374608,388421.432125286,-0.0259747166230741,-0.028183163950292,-0.0521061585829673,-0.0478370865837326,0.0258177949172831,0.0270180856732226,0.0232832620602711,0.0246917879053268
29.56,7.72147770354038,-0.100769815664743,-0.0245889372905933,-0.37591006088021,-0.313370855604297,7.60831048063942,-0.340529254238211,-0.0224416789204365,-0.0866203656439259,0.0905761322694737,-14016.8753025623,-14016.8753025622,-13249.7990942309,-13211.0165555433,-6999.08687380866,-7017.78842875366,-7000.2840890742,-7016.59121348805,-6624.8995471154,-6624.89954711545,-6605.50827777161,-6605.50827777172,377070.189547458,384789.658785955,446448.494258596,375405.805547739,375172.785169292,369069.711116592,426512.138379212,383939.115467168,-0.0529468200758046,-0.0409576118240187,-0.0515832139301479,-0.0533844394954278,0.0256874869732403,0.0261490888571531,0.0225662908870402,0.0250994586129703
